name,ufc_bouts_1993_2009,years,why_not_in_game,first_event
Chuck Liddell,23,1998-2009,ESPN profile lacks nationality,The Ultimate Fighter 1 Finale
Tito Ortiz,21,1997-2009,ESPN profile complete,Ortiz vs. Shamrock 3: The Final Chapter
Josh Koscheck,16,2005-2009,ESPN profile lacks nationality,2005 in UFC
Frank Mir,15,2001-2009,ESPN profile complete,UFC 100
Pedro Rizzo,14,1998-2003,ESPN profile complete,UFC 18
Diego Sanchez,13,2005-2009,ESPN profile complete,The Ultimate Fighter 1 Finale
Jeremy Horn,13,1998-2009,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
Ken Shamrock,13,1993-2006,ESPN profile lacks nationality,Ortiz vs. Shamrock 3: The Final Chapter
Tim Sylvia,13,2002-2008,ESPN profile lacks nationality,UFC 39
Joe Stevenson,12,2005-2009,ESPN profile complete,The Ultimate Fighter 2 Finale
Jon Fitch,12,2005-2009,ESPN profile complete,UFC 100
Karo Parisyan,12,2003-2009,ESPN profile lacks nationality,UFC 44
Marcus Davis,12,2005-2009,no ESPN profile,Ortiz vs. Shamrock 3: The Final Chapter
Matt Lindland,12,2000-2005,no ESPN profile,UFC 29
Tank Abbott,12,1995-2003,no ESPN profile,UFC 11
Brandon Vera,11,2005-2009,ESPN profile complete,UFC 102
Cheick Kongo,11,2006-2009,ESPN profile complete,UFC 107
Hermes França,11,2003-2009,ESPN profile complete,UFC 103
Keith Jardine,11,2005-2009,ESPN profile lacks nationality,The Ultimate Fighter 2 Finale
Alessio Sakara,10,2005-2009,ESPN profile complete,UFC 101
Gabriel Gonzaga,10,2005-2009,ESPN profile complete,UFC 102
Gleison Tibau,10,2006-2009,ESPN profile complete,The Ultimate Fighter: United States vs. United Kingdom Finale
Josh Burkman,10,2005-2008,no ESPN profile,The Ultimate Fighter 2 Finale
Josh Neer,10,2005-2009,no ESPN profile,2005 in UFC
Rashad Evans,10,2005-2009,ESPN profile complete,The Ultimate Fighter 2 Finale
Renato Sobral,10,2000-2007,no ESPN profile,UFC 28
Rich Clementi,10,2003-2009,no ESPN profile,The Ultimate Fighter 4 Finale
Stephan Bonnar,10,2005-2009,ESPN profile lacks nationality,2005 in UFC
Wilson Gouveia,10,2006-2009,no ESPN profile,The Ultimate Fighter 3 Finale
Caol Uno,9,2001-2009,ESPN profile complete,UFC 106
Din Thomas,9,2001-2008,ESPN profile lacks nationality,The Ultimate Fighter 4 Finale
Drew McFedries,9,2006-2009,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
Jens Pulver,9,1999-2007,ESPN profile lacks nationality,The Ultimate Fighter 5 Finale
Kendall Grove,9,2006-2009,ESPN profile complete,Ortiz vs. Shamrock 3: The Final Chapter
Kurt Pellegrino,9,2006-2009,no ESPN profile,UFC 101
Luigi Fioravanti,9,2006-2009,no ESPN profile,The Ultimate Fighter 3 Finale
Matt Hamill,9,2006-2009,"ESPN profile lacks division, nationality",Ortiz vs. Shamrock 3: The Final Chapter
Melvin Guillard,9,2005-2009,no ESPN profile,The Ultimate Fighter 2 Finale
Pat Miletich,9,1998-2002,no ESPN profile,UFC 16
Phil Baroni,9,2001-2009,ESPN profile complete,UFC 106
Tyson Griffin,9,2006-2009,ESPN profile complete,UFC 103
Yushin Okami,9,2006-2009,ESPN profile complete,UFC 104
Anthony Johnson,8,2007-2009,ESPN profile complete,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale
David Loiseau,8,2003-2009,ESPN profile lacks nationality,UFC 42
James Irvin,8,2005-2008,ESPN profile lacks nationality,UFC 51
Jason Lambert,8,2006-2008,no ESPN profile,UFC 58
Joe Riggs,8,2004-2006,ESPN profile complete,UFC 49
Jonathan Goulet,8,2005-2008,no ESPN profile,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
Lyoto Machida,8,2007-2009,ESPN profile complete,UFC 104
Nate Diaz,8,2007-2009,ESPN profile complete,The Ultimate Fighter 5 Finale
Pete Williams,8,1998-2002,"ESPN profile lacks nationality, DOB, height",UFC 17
Roger Huerta,8,2006-2009,no ESPN profile,The Ultimate Fighter 5 Finale
Dan Severn,7,1994-2000,"ESPN profile lacks division, nationality",UFC 12
Drew Fickett,7,2005-2007,no ESPN profile,2005 in UFC
Eugene Jackson,7,1999-2002,no ESPN profile,UFC 21
Fabiano Iha,7,1999-2001,"ESPN profile lacks nationality, DOB, height",UFC 20
Ivan Salaverry,7,2002-2008,no ESPN profile,2005 in UFC
Jake O'Brien,7,2006-2009,ESPN profile lacks nationality,UFC 100
Jeff Monson,7,2000-2006,no ESPN profile,UFC 27
Jorge Gurgel,7,2006-2008,no ESPN profile,UFC 63
Kevin Randleman,7,1999-2002,"ESPN profile lacks division, nationality",UFC 19
Maurice Smith,7,1997-2000,ESPN profile lacks nationality,UFC 14
Pete Sell,7,2005-2009,no ESPN profile,2005 in UFC
Pete Spratt,7,2002-2007,no ESPN profile,2005 in UFC
Ricco Rodriguez,7,2001-2003,ESPN profile complete,UFC 32
Terry Etim,7,2007-2009,ESPN profile lacks nationality,UFC 105
Thiago Tavares,7,2007-2009,ESPN profile complete,UFC 76
Wanderlei Silva,7,1998-2009,ESPN profile complete,UFC 20
Brock Larson,6,2005-2009,no ESPN profile,UFC 106
Carlos Newton,6,1998-2004,"ESPN profile lacks nationality, DOB, height",UFC 17
Chael Sonnen,6,2005-2009,ESPN profile lacks nationality,UFC 104
Dave Menne,6,2000-2006,no ESPN profile,UFC 24
Dean Lister,6,2006-2008,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
Eddie Sanchez,6,2006-2008,no ESPN profile,UFC 63
Eric Schafer,6,2006-2009,"ESPN profile lacks division, nationality",UFC 104
Frank Trigg,6,2003-2009,ESPN profile complete,UFC 103
Houston Alexander,6,2007-2009,no ESPN profile,The Ultimate Fighter: Heavyweights Finale
Ian Freeman,6,2000-2003,ESPN profile lacks nationality,UFC 24
Joe Doerksen,6,2004-2008,no ESPN profile,UFC 49
Kimo Leopoldo,6,1994-2004,no ESPN profile,UFC 16
Marcus Aurelio,6,2007-2009,no ESPN profile,UFC 102
Quinton Jackson,6,2007-2009,ESPN profile complete,UFC 67
Royce Gracie,6,1993-2006,ESPN profile lacks nationality,UFC 1
Shonie Carter,6,2000-2006,ESPN profile lacks division,UFC 24
Terry Martin,6,2005-2008,no ESPN profile,UFC 54
Thiago Silva,6,2007-2009,no ESPN profile,UFC 102
Travis Lutter,6,2004-2008,ESPN profile lacks nationality,The Ultimate Fighter 4 Finale
Vladimir Matyushenko,6,2001-2009,ESPN profile lacks nationality,UFC 103
Ben Saunders,5,2007-2009,no ESPN profile,The Ultimate Fighter: Team Hughes vs. Team Serra Finale
C. B. Dollaway,5,2008-2009,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
David Heath,5,2006-2008,no ESPN profile,UFC 62
Dennis Hallman,5,2000-2009,ESPN profile complete,The Ultimate Fighter: Heavyweights Finale
Forrest Petz,5,2006-2007,no ESPN profile,Ortiz vs. Shamrock 3: The Final Chapter
Frank Shamrock,5,1997-1999,no ESPN profile,UFC 16
Gary Goodridge,5,1996-1999,ESPN profile lacks nationality,UFC 10
Heath Herring,5,2007-2008,ESPN profile complete,UFC 69
Jess Liaudin,5,2007-2008,no ESPN profile,UFC 70
Kalib Starnes,5,2006-2008,no ESPN profile,The Ultimate Fighter 3 Finale
LaVerne Clark,5,1998-2000,no ESPN profile,UFC 16
Luiz Cané,5,2007-2009,no ESPN profile,UFC 106
Mark Hall,5,1995-1996,"ESPN profile lacks nationality, DOB, height",UFC 10
Marvin Eastman,5,2003-2008,no ESPN profile,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale
Mirko Cro Cop,5,2007-2009,no ESPN profile,UFC 103
Paul Buentello,5,2005-2009,ESPN profile lacks division,UFC 107
Paul Kelly,5,2008-2009,no ESPN profile,UFC 105
